lat,lng,cap
41.0729,-74.014,0.26
24.9702,100.2186,2.17
47.4083,126.9945,1.14
24.9023,118.8103,5.17
29.4567,90.9451,1.63
36.6469,112.5535,0.81
43.8712,4.8155,1.27
42.022,-71.6066,0.78
39.9345,112.161,0.74
35.5193,135.1243,0.97
33.534,112.8634,0.28
15.2259,77.0999,0.52
36.1246,127.2777,1.66
7.4283,80.4566,0.62
40.6946,-75.1631,1.35
-22.7563,-45.1531,3.96
24.146,120.5549,1.25
39.5552,21.8757,0.64
33.8763,115.9352,0.31
2.2961,102.3575,47.89
43.6412,4.0159,0.74
23.1426,113.0649,0.97
35.9359,126.745,0.37
35.4151,117.6613,0.99
52.2476,8.0631,0.4
30.2953,118.3699,1.34
39.7154,22.5105,0.69
53.1076,-1.3767,18.48
47.5644,8.8759,0.57
33.6777,113.4443,1.14
22.6211,114.0923,0.84
29.6115,120.1272,0.89
34.9342,136.939,1.03
48.0345,7.6031,1.51
27.8529,114.9228,1.12
36.6381,120.9386,62.77
23.0917,113.2842,1.11
15.5645,75.8514,11.46
32.0826,110.6241,0.38
45.6541,9.6837,0.4
35.9944,140.1039,0.44
3.0156,114.2064,0.68
37.7902,115.7817,2.26
51.9646,0.3657,42.58
42.584,-71.8964,1.86
43.6116,81.2572,1.22
38.4018,22.9878,1.19
40.8359,-5.2053,1.25
43.9892,5.9286,0.97
34.6181,107.3882,5.11
19.8913,75.4901,0.76
46.2259,126.2356,10.56
19.8953,110.5943,0.56
57.857,26.9013,1.23
37.1829,-120.5996,0.8
40.4549,114.8117,9.74
39.5706,21.8825,0.46
36.2,118.9819,0.85
44.214,-78.9522,0.65
52.3067,8.9409,3.1
27.3463,118.7671,0.8
28.6305,115.7139,1.25
39.3901,22.3085,0.45
-21.9936,-48.3991,4.83
40.44,21.2808,0.83
31.344,130.9286,0.89
44.0771,17.442,0.88
46.7183,20.2013,1.17
32.637,118.8351,1.06
14.8202,101.1158,21.85
31.7511,36.3885,3.72
40.792,22.9234,0.76
35.3032,-119.2927,0.7
42.1483,-71.5168,0.59
47.6436,11.2207,2.1
35.2555,103.3754,0.44
21.5208,78.1999,16.36
49.0383,17.2737,0.66
37.241,127.8481,1.07
41.8615,-71.5955,1.58
36.6912,114.4266,1.43
37.3957,22.2235,1.2
34.4817,112.594,0.44
-33.5607,-71.2145,4.62
44.1684,12.3757,1.27
39.9296,-4.8648,7.8
50.9878,6.8147,1.81
49.6968,14.7484,1.26
35.0983,116.3033,0.34
53.1639,-2.3914,6.93
59.3891,26.9462,22.32
36.5102,29.2677,3.35
40.2942,21.9003,0.63
41.1538,0.9991,0.91
53.0469,15.2834,0.75
34.7841,134.6505,1.57
52.6039,18.4928,1.28
39.6306,-77.9093,4.27
25.0205,121.449,0.82
50.4198,20.6661,1.41
-24.5128,-54.0531,0.96
38.1746,-95.2969,0.77
-23.0399,-45.7255,2.29
48.131,19.603,0.4
-34.4241,-71.309,5.41
-6.6312,-39.1047,3.83
25.9188,101.8236,22.98
33.3433,-104.5497,0.32
56.1562,-3.152,10.75
35.6776,127.9518,0.35
36.1641,139.6115,0.55
34.6101,-111.9184,0.41
32.0486,121.7167,86.45
39.7294,105.7773,8.6
47.9682,1.8393,1.38
13.5532,99.6618,1.28
41.121,117.8746,6.76
37.8108,126.7643,1.08
50.4243,23.4798,2.03
37.2468,117.9196,0.51
35.6783,138.5961,2.57
-24.4099,-53.4884,4.39
36.3464,127.3594,1.02
40.1579,15.4663,0.96
34.3565,132.6757,0.9
32.906,-115.5169,1.14
37.0168,-77.1509,27.36
-22.2012,-43.7027,1.6
53.0037,17.7065,3.36
40.6523,17.0291,1.74
36.5346,127.6868,0.35
44.6565,-69.2841,2.01
40.1174,-92.5681,18.07
18.3926,109.7146,0.87
37.1565,127.094,0.96
36.442,-120.3874,1.08
47.4921,-98.9236,0.59
47.7107,1.512,1.79
38.1079,139.5435,0.95
17.7744,83.2716,1.32
23.8572,106.7796,2.36
43.8847,-92.0552,0.47
49.3053,9.525,0.57
52.6989,8.8923,0.53
51.3161,10.5632,3.2
25.3072,108.2804,2.91
39.2814,22.4538,0.42
37.464,115.0985,1.26
38.4934,114.259,0.77
24.2839,98.073,9.52
53.3101,6.5824,1.34
33.7582,115.9321,0.39
35.7202,138.4382,0.95
45.4916,8.1113,3.46
41.0897,-87.2613,0.71
50.4294,-5.0141,0.51
47.5966,7.9028,0.93
28.1254,35.999,1.57
35.9583,140.2523,3.2
40.1836,34.7773,6.05
30.1264,120.7155,0.67
30.1896,121.123,0.58
10.3219,-75.4857,11.0
31.7781,36.2461,1.15
35.2554,140.3856,0.54
24.7799,102.82,1.6
16.1788,76.7645,38.59
49.8206,10.7569,6.14
45.9788,12.2013,0.66
18.4732,105.6956,1.01
44.06,4.9978,1.36
37.2351,14.9179,0.38
36.1906,126.5821,1.12
39.3228,9.4976,0.9
51.3128,5.7149,1.42
41.6074,27.2479,2.64
52.6936,12.3786,0.62
37.251,129.3388,0.33
32.8492,130.0933,0.55
34.439,-84.9982,0.26
41.6083,-2.504,12.48
35.72,115.18,0.31
24.6958,74.6776,3.14
39.4195,19.9817,0.7
36.7642,126.369,1.66
38.2577,-1.1488,0.86
35.7181,115.3404,1.14
28.7713,-81.3535,0.68
25.1614,110.2901,2.16
41.0193,114.159,0.71
32.9823,115.3805,2.77
35.9602,139.673,0.4
50.8728,10.653,3.21
6.3985,101.815,0.61
28.8532,118.6095,4.83
21.7315,71.7335,0.53
35.314,128.3212,1.03
22.8822,120.4683,0.68
21.7121,71.2135,2.29
40.0217,114.4413,2.54
40.8721,26.7084,0.75
45.2399,28.1547,2.63
35.3881,140.268,25.83
40.7778,23.087,0.79
34.2091,116.7346,0.83
40.5656,72.6266,7.92
52.2517,17.4274,0.69
40.5987,21.6769,0.68
39.6121,20.9056,0.75
37.6688,-5.6202,41.73
34.0719,-117.9636,0.61
50.669,5.5447,1.25
23.6109,114.655,0.4
53.942,28.2026,0.57
47.9813,16.6055,0.69
37.7286,117.1116,3.67
46.6531,13.7851,0.71
22.8386,113.4852,1.21
42.7927,142.9297,2.91
36.0684,113.1756,1.16
32.1219,114.9681,2.27
42.5088,-114.5375,1.5
-26.31,28.1335,0.41
27.1612,103.954,4.14
-35.8762,-72.4497,6.95
40.1326,26.7148,9.55
44.4083,-69.5258,3.89
38.9487,-7.0704,0.68
27.7011,76.4068,0.6
41.8525,116.36,1.24
40.6596,80.9125,4.24
40.2803,-103.6179,2.65
44.8954,-94.524,0.95
38.8545,-6.3576,0.74
40.2407,34.1815,1.79
47.9321,10.8606,0.73
9.8716,77.419,9.19
52.6789,0.8678,0.42
35.3256,103.2969,8.07
36.5672,137.2169,0.37
-12.3286,133.0444,1.41
29.7197,107.3072,0.67
36.4152,127.3553,0.61
31.7648,118.5034,2.16
44.903,-94.136,0.69
34.836,126.7034,0.82
52.9462,22.3176,10.18
38.792,98.4566,0.57
11.688,108.8789,1.86
35.6654,113.2304,1.12
42.8867,-74.0725,0.66
14.619,100.9341,0.98
37.9107,23.8826,0.63
34.5836,110.1923,5.35
31.0994,121.282,3.59
45.4431,-76.4687,2.85
36.1483,140.1493,0.74
-12.5632,-55.4724,1.8
21.2715,76.3139,5.1
34.3213,135.5321,1.37
38.9572,-92.2433,13.16
42.6366,143.2653,3.42
35.3821,137.4377,0.78
40.6917,115.0318,0.38
46.2397,24.8126,0.95
54.0517,21.371,2.91
42.4515,26.4697,0.92
35.009,126.625,0.36
-26.3707,-52.9043,1.32
44.856,24.9079,1.59
43.7165,127.4333,1.5
2.6096,102.0651,0.74
36.448,116.6481,0.52
40.1051,28.073,4.78
39.9839,-74.7813,0.29
32.2223,119.7975,0.44
25.7309,107.8755,2.41
34.2565,115.9881,0.6
35.9235,139.7159,0.79
40.2941,22.5807,0.54
41.3238,26.4835,0.54
35.0972,135.4894,12.76
34.9274,134.9473,1.19
54.4014,16.9048,0.87
